# NIRWizard 0.1.7 — subject GLM nuisance-regressor coefficients (descriptive)
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=AR-IRLS; inferential; correction=Benjamini-Hochberg FDR; families=condition × chromophore, across channels
# regressors: drift_r1_1, drift_r1_2, drift_r1_3, drift_r1_4, drift_r1_5, drift_r1_6, drift_r1_7, drift_r1_8, drift_r1_9, drift_r2_1, drift_r2_2, drift_r2_3, drift_r2_4, drift_r2_5, drift_r2_6, drift_r2_7, drift_r3_1, drift_r3_2, drift_r3_3, drift_r3_4, drift_r3_5, drift_r3_6, drift_r3_7, drift_r3_8, drift_r4_1, drift_r4_2, drift_r4_3, drift_r4_4, drift_r4_5, drift_r4_6, drift_r4_7, run_2, run_3, run_4, intercept
# provenance: quiet_vs_noise_glm_results.json (authoritative sidecar, schema 1.0)
channel,signal,regressor,beta,se
S1-D3,HbO,drift_r1_5,-2.496799e0,1.429238e0
S1-D3,HbO,drift_r1_6,-1.662840e0,1.411003e0
S1-D3,HbO,drift_r1_7,8.643431e-1,1.407437e0
S1-D3,HbO,drift_r1_8,8.360696e-2,1.407039e0
S1-D3,HbO,drift_r1_9,-2.993827e0,1.393951e0
S1-D3,HbO,drift_r2_1,-3.078348e0,1.405062e0
S1-D3,HbO,drift_r2_2,2.156943e-1,1.414469e0
S1-D3,HbO,drift_r2_3,-3.942279e0,1.398725e0
S1-D3,HbO,drift_r2_4,-1.559257e-1,1.395586e0
S1-D3,HbO,drift_r2_5,-4.329142e0,1.386599e0
S1-D3,HbO,drift_r2_6,-1.068184e0,1.381945e0
S1-D3,HbO,drift_r2_7,-4.868089e0,1.372362e0
S1-D3,HbO,drift_r3_1,4.563460e0,1.417547e0
S1-D3,HbO,drift_r3_2,3.480117e0,1.434563e0
S1-D3,HbO,drift_r3_3,4.539765e0,1.407676e0
S1-D3,HbO,drift_r3_4,4.747753e0,1.427937e0
S1-D3,HbO,drift_r3_5,1.373633e0,1.398283e0
S1-D3,HbO,drift_r3_6,3.771707e0,1.398309e0
S1-D3,HbO,drift_r3_7,3.179626e-1,1.387361e0
S1-D3,HbO,drift_r3_8,-1.555919e-1,1.376594e0
S1-D3,HbO,drift_r4_1,-1.228926e0,1.404879e0
S1-D3,HbO,drift_r4_2,5.936547e-1,1.425918e0
S1-D3,HbO,drift_r4_3,-7.149966e-1,1.398994e0
S1-D3,HbO,drift_r4_4,-2.027996e0,1.396785e0
S1-D3,HbO,drift_r4_5,6.719216e-1,1.388056e0
S1-D3,HbO,drift_r4_6,-2.273180e-1,1.380832e0
S1-D3,HbO,drift_r4_7,-2.039767e0,1.377715e0
S1-D3,HbO,run_2,-4.989660e-2,2.806647e-2
S1-D3,HbO,run_3,4.808913e-3,3.181973e-2
S1-D3,HbO,run_4,-2.643753e-2,3.191948e-2
S1-D3,HbO,intercept,-1.499931e-1,2.112056e-2
S1-D3,HbR,drift_r1_1,4.007363e-1,3.679625e-1
